timestamp,temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm,weather_condition
2025-01-01 00:00:00,17.85,39.26,36.13,7.76,Storm
2025-01-01 00:01:00,27.39,73.22,1.08,5.05,Storm
2025-01-01 00:02:00,21.7,32.38,39.26,6.97,Cloudy
2025-01-01 00:03:00,16.17,55.97,14.58,6.64,Cloudy
2025-01-01 00:04:00,20.23,35.48,22.17,9.68,Cloudy
2025-01-01 00:05:00,13.6,71.23,13.81,0.16,Cloudy
2025-01-01 00:06:00,16.99,45.18,32.98,6.06,Clear
2025-01-01 00:07:00,20.46,71.08,26.9,0.64,Storm
2025-01-01 00:08:00,22.95,40.52,35.09,8.52,Cloudy
2025-01-01 00:09:00,28.54,53.77,8.49,2.18,Cloudy
2025-01-01 00:10:00,19.62,85.53,25.62,2.91,Clear
2025-01-01 00:11:00,23.64,53.04,21.27,1.69,Storm
2025-01-01 00:12:00,33.78,36.84,23.55,5.84,Storm
2025-01-01 00:13:00,30.46,52.2,14.62,8.49,Storm
2025-01-01 00:14:00,15.93,57.28,0.26,3.5,Cloudy
2025-01-01 00:15:00,15.34,57.51,28.19,0.39,Clear
2025-01-01 00:16:00,26.57,72.55,28.57,3.49,Rain
2025-01-01 00:17:00,24.88,37.48,34.8,8.86,Cloudy
2025-01-01 00:18:00,23.67,57.69,38.5,6.25,Storm
2025-01-01 00:19:00,13.85,45.24,7.96,5.26,Clear
2025-01-01 00:20:00,19.07,56.67,2.72,1.45,Storm
2025-01-01 00:21:00,28.98,40.38,31.4,5.62,Storm
2025-01-01 00:22:00,28.09,44.13,35.15,3.32,Cloudy
2025-01-01 00:23:00,14.13,63.17,6.85,8.46,Storm
2025-01-01 00:24:00,20.67,48.08,4.36,4.54,Clear
2025-01-01 00:25:00,21.07,39.58,33.95,4.69,Storm
2025-01-01 00:26:00,22.71,67.18,39.11,8.55,Storm
2025-01-01 00:27:00,21.53,80.19,16.31,5.85,Clear
2025-01-01 00:28:00,22.54,79.28,36.2,0.81,Cloudy
2025-01-01 00:29:00,30.33,80.05,30.86,1.44,Cloudy
2025-01-01 00:30:00,19.74,31.03,11.58,8.38,Clear
2025-01-01 00:31:00,23.8,71.17,6.28,7.09,Rain
2025-01-01 00:32:00,25.17,89.93,7.8,6.02,Clear
2025-01-01 00:33:00,33.56,73.59,21.04,9.31,Storm
2025-01-01 00:34:00,26.37,45.95,15.89,7.74,Cloudy
2025-01-01 00:35:00,13.27,63.84,38.34,7.78,Cloudy
2025-01-01 00:36:00,24.56,58.68,16.61,8.68,Clear
2025-01-01 00:37:00,26.55,57.54,3.89,5.88,Storm
2025-01-01 00:38:00,10.24,73.36,4.78,7.52,Storm
2025-01-01 00:39:00,11.88,37.61,36.23,0.48,Storm
2025-01-01 00:40:00,10.47,37.16,20.72,6.93,Rain
2025-01-01 00:41:00,11.21,60.39,37.82,8.7,Clear
2025-01-01 00:42:00,12.24,88.44,38.01,9.33,Cloudy
2025-01-01 00:43:00,33.95,33.69,38.51,1.37,Cloudy
2025-01-01 00:44:00,15.17,52.23,36.86,9.99,Rain
2025-01-01 00:45:00,15.11,60.53,35.52,6.36,Clear
2025-01-01 00:46:00,31.44,30.08,24.83,2.71,Cloudy
2025-01-01 00:47:00,28.82,47.68,38.07,2.85,Clear
2025-01-01 00:48:00,26.9,36.65,31.82,7.22,Cloudy
2025-01-01 00:49:00,20.54,72.33,27.25,2.89,Storm
2025-01-01 00:50:00,10.78,56.34,35.77,4.17,Storm
2025-01-01 00:51:00,30.66,67.36,32.35,8.59,Cloudy
2025-01-01 00:52:00,31.52,66.15,15.25,3.1,Clear
2025-01-01 00:53:00,22.04,51.47,11.19,9.24,Storm
2025-01-01 00:54:00,26.12,32.13,6.03,6.58,Rain
2025-01-01 00:55:00,21.94,46.06,38.03,1.65,Rain
2025-01-01 00:56:00,17.4,58.87,3.43,2.47,Storm
2025-01-01 00:57:00,23.51,42.16,30.82,3.78,Clear
2025-01-01 00:58:00,27.21,86.26,15.45,9.03,Rain
2025-01-01 00:59:00,13.86,54.82,18.65,5.65,Storm
2025-01-01 01:00:00,23.27,51.13,4.85,0.45,Cloudy
2025-01-01 01:01:00,29.4,36.45,4.75,6.76,Storm
2025-01-01 01:02:00,21.89,46.57,14.05,1.99,Clear
2025-01-01 01:03:00,13.92,64.71,28.53,1.31,Storm
2025-01-01 01:04:00,31.74,79.18,10.72,3.62,Storm
2025-01-01 01:05:00,26.85,76.41,27.85,8.17,Cloudy
2025-01-01 01:06:00,25.81,71.11,39.86,9.9,Clear
2025-01-01 01:07:00,26.29,85.95,16.99,9.5,Clear
2025-01-01 01:08:00,16.13,44.58,37.42,1.02,Clear
2025-01-01 01:09:00,22.31,44.08,3.18,4.81,Cloudy
2025-01-01 01:10:00,18.15,32.8,12.54,3.5,Cloudy
2025-01-01 01:11:00,30.84,72.22,23.96,1.33,Rain
2025-01-01 01:12:00,24.72,78.07,8.59,1.86,Clear
2025-01-01 01:13:00,27.93,45.58,14.93,5.37,Storm
2025-01-01 01:14:00,26.51,77.44,18.05,2.42,Clear
2025-01-01 01:15:00,22.09,72.54,26.97,2.49,Cloudy
2025-01-01 01:16:00,30.12,62.46,8.72,6.12,Cloudy
2025-01-01 01:17:00,25.38,63.21,14.11,1.63,Storm
2025-01-01 01:18:00,15.67,72.31,38.19,3.91,Clear
2025-01-01 01:19:00,17.27,89.89,10.65,2.26,Clear
2025-01-01 01:20:00,30.67,49.15,29.41,4.0,Clear
2025-01-01 01:21:00,33.53,34.36,34.84,2.8,Storm
2025-01-01 01:22:00,23.7,71.97,26.85,6.37,Rain
2025-01-01 01:23:00,19.64,31.73,31.54,2.45,Cloudy
2025-01-01 01:24:00,25.63,83.69,39.36,2.32,Storm
2025-01-01 01:25:00,22.09,88.36,13.27,1.02,Cloudy
2025-01-01 01:26:00,31.04,73.59,10.33,1.2,Cloudy
2025-01-01 01:27:00,30.82,50.58,18.01,8.22,Clear
2025-01-01 01:28:00,21.4,43.54,25.53,7.42,Rain
2025-01-01 01:29:00,30.11,36.61,4.29,1.31,Rain
2025-01-01 01:30:00,14.82,30.36,2.1,7.4,Storm
2025-01-01 01:31:00,19.35,55.83,5.5,4.55,Cloudy
2025-01-01 01:32:00,11.99,68.83,6.68,3.26,Cloudy
2025-01-01 01:33:00,30.19,52.58,1.57,4.87,Clear
2025-01-01 01:34:00,34.38,56.29,23.69,1.93,Rain
2025-01-01 01:35:00,24.42,71.11,23.22,2.11,Cloudy
2025-01-01 01:36:00,29.16,54.54,19.17,5.24,Clear
2025-01-01 01:37:00,20.04,76.4,5.23,7.25,Clear
2025-01-01 01:38:00,24.04,68.54,37.86,7.9,Clear
2025-01-01 01:39:00,18.68,70.28,28.22,9.52,Cloudy
2025-01-01 01:40:00,27.42,67.16,4.06,3.15,Rain
2025-01-01 01:41:00,16.16,37.18,23.06,4.02,Cloudy
2025-01-01 01:42:00,13.83,71.04,1.59,8.11,Storm
2025-01-01 01:43:00,32.46,65.53,16.18,4.4,Clear
2025-01-01 01:44:00,31.61,64.46,32.33,8.69,Clear
2025-01-01 01:45:00,30.87,65.9,21.25,4.3,Rain
2025-01-01 01:46:00,30.54,89.22,3.84,1.84,Rain
2025-01-01 01:47:00,28.24,56.16,33.87,1.58,Clear
2025-01-01 01:48:00,31.87,36.36,2.98,7.88,Cloudy
